Date,Transaction,Name,Memo,Amount
4/1/2026,DEBIT,TIM HORTONS #3921,COFFEE,-5.75
4/2/2026,DEBIT,LOBLAWS #1042,GROCERIES,-132.40
4/3/2026,CREDIT,PAYROLL DEPOSIT,ACME CORP SALARY,3250.00
4/4/2026,DEBIT,SHELL GAS STATION,FUEL,-70.15
4/5/2026,DEBIT,NETFLIX.COM,MONTHLY SUBSCRIPTION,-17.99
4/6/2026,DEBIT,INTERAC e-Transfer TO LANDLORD,APRIL RENT,-2200.00
4/7/2026,DEBIT,PRESTO TRANSIT,MONTHLY PASS,-156.00
4/8/2026,DEBIT,COSTCO WHOLESALE #441,GROCERIES,-180.30
4/9/2026,DEBIT,TIM HORTONS #3921,LUNCH,-11.20
4/10/2026,DEBIT,AMAZON.CA,HOUSEHOLD ITEMS,-45.67
4/13/2026,DEBIT,SPOTIFY PREMIUM,MONTHLY SUBSCRIPTION,-11.99
4/14/2026,DEBIT,SHOPPERS DRUG MART #2145,SNACKS & DRINKS,-19.80
4/15/2026,DEBIT,UBER EATS,LUNCH DELIVERY,-22.45
4/16/2026,CREDIT,PAYROLL DEPOSIT,ACME CORP SALARY,3250.00
4/17/2026,DEBIT,GOODLIFE FITNESS,GYM MEMBERSHIP,-55.00
4/18/2026,DEBIT,ROGERS WIRELESS,PHONE BILL,-85.00
4/19/2026,DEBIT,PETRO-CANADA,FUEL,-55.90
4/20/2026,DEBIT,NO FRILLS #3312,GROCERIES,-110.23
4/21/2026,DEBIT,LCBO #423,,-38.50
4/23/2026,DEBIT,ENBRIDGE GAS,UTILITIES,-115.00
4/24/2026,DEBIT,HYDRO ONE,ELECTRICITY,-78.00
4/25/2026,CREDIT,INTERAC e-Transfer FROM JANE SMITH,DINNER SPLIT,25.00
4/26/2026,DEBIT,TIM HORTONS #3921,COFFEE,-5.25
4/27/2026,DEBIT,WALMART CANADA #1122,HOUSEHOLD,-56.78
4/28/2026,DEBIT,CINEPLEX ENTERTAINMENT,MOVIE,-15.50
