Date,Transaction,Name,Memo,Amount
3/1/2026,DEBIT,TIM HORTONS #3921,COFFEE & BAGEL,-6.45
3/2/2026,DEBIT,SHOPPERS DRUG MART #2145,PERSONAL CARE,-23.50
3/3/2026,CREDIT,PAYROLL DEPOSIT,ACME CORP SALARY,3250.00
3/4/2026,DEBIT,LOBLAWS #1042,WEEKLY GROCERIES,-145.23
3/5/2026,DEBIT,SHELL GAS STATION,FUEL,-62.80
3/7/2026,DEBIT,NETFLIX.COM,MONTHLY SUBSCRIPTION,-17.99
3/8/2026,DEBIT,COSTCO WHOLESALE #441,GROCERIES & HOUSEHOLD,-210.45
3/9/2026,DEBIT,TIM HORTONS #3921,LUNCH,-12.30
3/10/2026,DEBIT,INTERAC e-Transfer TO LANDLORD,MARCH RENT,-2200.00
3/11/2026,DEBIT,PRESTO TRANSIT,MONTHLY PASS,-156.00
3/12/2026,DEBIT,AMAZON.CA,BOOKS & ELECTRONICS,-89.99
3/14/2026,CREDIT,INTERAC e-Transfer FROM JOHN DOE,REIMBURSEMENT,45.00
3/15/2026,DEBIT,PETRO-CANADA,FUEL,-58.40
3/16/2026,DEBIT,DOLLARAMA #218,HOUSEHOLD,-8.50
3/17/2026,CREDIT,PAYROLL DEPOSIT,ACME CORP SALARY,3250.00
3/18/2026,DEBIT,SPOTIFY PREMIUM,MONTHLY SUBSCRIPTION,-11.99
3/19/2026,DEBIT,UBER EATS,DINNER DELIVERY,-34.56
3/20/2026,DEBIT,SHOPPERS DRUG MART #2145,PHARMACY,-15.00
3/21/2026,DEBIT,LCBO #423,,-42.30
3/22/2026,DEBIT,CANADIAN TIRE #102,AUTO MAINTENANCE,-67.89
3/25/2026,DEBIT,TIM HORTONS #3921,COFFEE,-4.25
3/26/2026,DEBIT,NO FRILLS #3312,GROCERIES,-98.76
3/27/2026,DEBIT,CINEPLEX ENTERTAINMENT,MOVIE TICKETS,-28.00
3/29/2026,DEBIT,GOODLIFE FITNESS,GYM MEMBERSHIP,-55.00
3/30/2026,DEBIT,ROGERS WIRELESS,PHONE BILL,-85.00
3/31/2026,DEBIT,ENBRIDGE GAS,UTILITIES,-120.00
